Episodes,Scores_noCER,Scores_CER
25,0,0.004
50,0.002,0.0058
75,0.002666667,0.0052
100,0.003,0.0069
125,0.0057,0.0099
150,0.0066,0.009
175,0.0092,0.015
200,0.0082,0.017
225,0.0093,0.02
250,0.0122,0.02
275,0.0174,0.016
300,0.029,0.017
325,0.040900001,0.017
350,0.060300001,0.019
375,0.070900001,0.022
400,0.082700001,0.0229
425,0.082300001,0.0219
450,0.074900001,0.0297
475,0.076000001,0.0237
500,0.073300001,0.0208
525,0.084000001,0.0248
550,0.092600001,0.024
575,0.097800002,0.035000001
600,0.104100002,0.039000001
625,0.094600001,0.038000001
650,0.085000001,0.036000001
675,0.083000001,0.035900001
700,0.083000001,0.0289
725,0.092500001,0.0249
750,0.103700002,0.0259
775,0.100000001,0.026
800,0.093000001,0.040900001
825,0.092000001,0.058500001
850,0.095000001,0.073500001
875,0.093700001,0.082400001
900,0.095500001,0.086200001
925,0.093400001,0.083500001
950,0.090400001,0.081200001
975,0.104500002,0.083300001
1000,0.121500002,0.083600001
1025,0.128200002,0.083700001
1050,0.127000002,0.087100001
1075,0.118800002,0.084500001
1100,0.107900002,0.084300001
1125,0.100900002,0.081600001
1150,0.099000002,0.077200001
1175,0.116200002,0.082000001
1200,0.114300002,0.083200001
1225,0.123400002,0.086600001
1250,0.129100002,0.085500001
1275,0.113100002,0.082400001
1300,0.120800002,0.081900001
1325,0.125800002,0.084900001
1350,0.144900002,0.085300001
1375,0.165800003,0.086200001
1400,0.197500003,0.092600001
1425,0.219400003,0.086500001
1450,0.219100003,0.090600001
1475,0.243700004,0.090500001
1500,0.212900003,0.087100001
1525,0.198900003,0.091300001
1550,0.218000003,0.089900001
1575,0.200700003,0.087800001
1600,0.230600003,0.084200001
1625,0.252900004,0.084400001
1650,0.252000004,0.079700001
1675,0.260700004,0.083900001
1700,0.276900004,0.084000001
1725,0.303500005,0.085000001
1750,0.308500005,0.090000001
1775,0.317300005,0.089900001
1800,0.375300006,0.091700001
1825,0.363400006,0.090700001
1850,0.403500006,0.088500001
1875,0.441800007,0.089300001
1900,0.391200006,0.095900001
1925,0.423300006,0.099500002
